team,division,r1_pos,r1_dest,r1_destopp,r2_pos,r2_dest,r2_destopp,r3_pos,r3_dest,r3_destopp
Airplane,1,d,Grape,McKernan,p,Biafra,Miller,FALSE,#N/A,
Bordin,1,d,Creedence,Miller,p,Moore,Testament,FALSE,#N/A,
Crows,1,p,Buckingham,Desmond,d,McKernan,Desmond,FALSE,#N/A,
Franti,1,d,Moore,Lesh,p,Desmond,McKernan,FALSE,#N/A,
Garcia,1,p,Testament,Call,d,Exodus,Call,FALSE,#N/A,
Greenday,1,p,Nightranger,Biafra,d,Testament,Moore,FALSE,#N/A,
Joplin,1,d,Desmond,Buckingham,p,Grape,Buckingham,FALSE,#N/A,
Lewis,1,p,Miller,Creedence,d,Lesh,Journey,FALSE,#N/A,
Metallica,1,d,Biafra,Nightranger,p,Call,Exodus,FALSE,#N/A,
Santana,1,d,Journey,Exodus,p,Creedence,Nightranger,FALSE,#N/A,
Stone,1,p,Exodus,Journey,d,Miller,Biafra,FALSE,#N/A,
Train,1,d,Call,Testament,p,Journey,Lesh,FALSE,#N/A,
Weir,1,p,McKernan,Grape,d,Nightranger,Creedence,FALSE,#N/A,
Young,1,p,Lesh,Moore,d,Buckingham,Grape,FALSE,#N/A,
Biafra,2,d,Bordin,Lewis,p,Bordin,Greenday,FALSE,#N/A,
Buckingham,2,p,Weir,Airplane,d,Young,Joplin,FALSE,#N/A,
Call,2,d,Joplin,Crows,p,Airplane,Stone,FALSE,#N/A,
Creedence,2,d,Metallica,Greenday,p,Santana,Weir,FALSE,#N/A,
Desmond,2,d,Airplane,Weir,p,Franti,Crows,FALSE,#N/A,
Exodus,2,p,Young,Franti,d,Stone,Airplane,FALSE,#N/A,
Grape,2,d,Santana,Stone,p,Joplin,Young,FALSE,#N/A,
Journey,2,d,Franti,Young,p,Train,Lewis,FALSE,#N/A,
Lesh,2,p,Garcia,Train,d,Lewis,Train,FALSE,#N/A,
McKernan,2,p,Stone,Santana,d,Crows,Franti,FALSE,#N/A,
Miller,2,p,Greenday,Metallica,d,Greenday,Bordin,FALSE,#N/A,
Moore,2,d,Train,Garcia,p,Metallica,Garcia,FALSE,#N/A,
Nightranger,2,p,Lewis,Bordin,d,Weir,Santana,FALSE,#N/A,
Testament,2,p,Crows,Joplin,d,Garcia,Metallica,FALSE,#N/A,
