team,division,r1,r2,r3
Airplane,1,505,506,505
Bordin,1,503,505,504
Crows,1,506,502,502
Franti,1,514,502,504
Garcia,1,502,220,220
Greenday,1,504,505,505
Joplin,1,506,504,506
Lewis,1,503,503,503
Metallica,1,504,220,503
Santana,1,220,514,514
Stone,1,220,506,220
Train,1,502,503,514
Weir,1,505,514,506
Young,1,514,504,502
Biafra,2,608,606,613
Buckingham,2,613,624,606
Call,2,602,608,608
Creedence,2,606,622,624
Desmond,2,613,602,608
Exodus,2,622,608,622
Grape,2,624,624,611
Journey,2,622,613,602
Lesh,2,611,613,622
McKernan,2,624,602,606
Miller,2,606,606,602
Moore,2,611,611,624
Nightranger,2,608,622,611
Testament,2,602,611,613
