team,division,r1,r2,r3
Beckham,1,A313,A305,--
Benjamin,1,A303,A303,--
Bentz,1,A304,A302,--
Berry,1,A303,A311,--
Helms,1,A301,A304,--
Hill,1,A305,A303,--
Kelley,1,A311,A304,--
Lee,1,A313,A313,--
Massey,1,A301,A310,--
McClain,1,A305,A311,--
McCollum,1,A302,A302,--
Moretz,1,A310,A305,--
Reed,1,A304,A301,--
Riggs,1,A311,A310,--
Rowland,1,A302,A301,--
Thompson,1,A310,A313,--
Acres,2,A402,A315,--
Austin,2,A401,A401,--
Baldwin,2,A315,A412a,--
Blomberg,2,A406,A408,--
Boykin,2,A412a,A406,--
Conroy,2,A408,A315,--
King Jr,2,A408,A404,--
Mitchell,2,A410,A412a,--
Nelson,2,A412a,A408,--
Newton,2,A410,A402,--
Ordway,2,A406,A406,--
Pardue,2,A315,A402,--
Pearman,2,A404,A401,--
Seacrest,2,A404,A410,--
Tucker,2,A401,A410,--
West,2,A402,A404,--
