team,division,r1_pos,r1_dest,r1_destopp,r2_pos,r2_dest,r2_destopp,r3_pos,r3_dest,r3_destopp
Adler,1,p,Mertz,Parcell,d,Seinfeld,Buffay,d,Scherbatsky,Parcell
Aldrin,1,d,Buffay,Scherbatsky,p,Eriksen,Scherbatsky,p,Truman,Costanza
Bing,1,d,Heffernan,Benes,p,Buffay,Seinfeld,p,Heffernan,Jordan
Buchman,1,p,Jefferson,Stinson,d,Benes,Donaghy,d,Jefferson,Eriksen
Channing,1,d,Jordan,Black,p,Heffernan,Gunther,p,Stinson,Buffay
Diaz,1,d,Eriksen,McFarland,p,Stinson,Newman,d,Buffay,Stinson
Fine,1,p,Newman,Donaghy,d,Newman,Stinson,d,Gunther,Black
Green,1,p,Scherbatsky,Buffay,d,Gunther,Heffernan,d,Benes,Newman
Hornberger,1,d,Geller,Gunther,p,Parcell,Black,d,McFarland,Mertz
Janice,1,p,Costanza,Tribbiani,d,Black,Parcell,d,Tribbiani,Donaghy
Jeffords,1,d,Tribbiani,Costanza,p,Jordan,Costanza,p,Parcell,Scherbatsky
Kramer,1,p,McFarland,Eriksen,d,Jefferson,Geller,p,Geller,Seinfeld
Lemon,1,p,Gunther,Geller,d,Costanza,Jordan,p,Eriksen,Jefferson
Maroney,1,d,Truman,Seinfeld,p,Donaghy,Benes,p,Black,Gunther
Mosby,1,p,Seinfeld,Truman,d,Mertz,Tribbiani,p,Donaghy,Tribbiani
Peralta,1,p,Black,Jordan,d,Scherbatsky,Eriksen,p,Newman,Benes
Ricardo,1,d,Parcell,Mertz,p,Truman,McFarland,d,Costanza,Truman
Santiago,1,d,Stinson,Jefferson,p,Tribbiani,Mertz,d,Jordan,Heffernan
Sheffield,1,p,Benes,Heffernan,d,McFarland,Truman,d,Seinfeld,Geller
Walker,1,d,Donaghy,Newman,p,Geller,Jefferson,p,Mertz,McFarland
Benes,2,p,Fine,Walker,d,Buchman,Maroney,d,Ricardo,Aldrin
Black,2,p,Adler,Ricardo,d,Janice,Hornberger,p,Kramer,Sheffield
Buffay,2,d,Maroney,Mosby,p,Bing,Adler,d,Santiago,Bing
Costanza,2,p,Green,Aldrin,d,Lemon,Jeffords,d,Hornberger,Walker
Donaghy,2,d,Jeffords,Janice,p,Maroney,Buchman,p,Channing,Diaz
Eriksen,2,d,Diaz,Kramer,p,Aldrin,Peralta,p,Maroney,Fine
Geller,2,d,Hornberger,Lemon,p,Walker,Kramer,p,Peralta,Green
Gunther,2,p,Lemon,Hornberger,d,Green,Channing,d,Sheffield,Kramer
Heffernan,2,d,Walker,Fine,p,Channing,Green,p,Mosby,Janice
Jefferson,2,p,Buchman,Santiago,d,Kramer,Walker,d,Fine,Maroney
Jordan,2,d,Ricardo,Adler,p,Jeffords,Lemon,d,Janice,Mosby
McFarland,2,p,Kramer,Diaz,d,Sheffield,Ricardo,d,Buchman,Lemon
Mertz,2,p,Peralta,Channing,d,Mosby,Santiago,p,Lemon,Buchman
Newman,2,p,Janice,Jeffords,d,Fine,Diaz,p,Aldrin,Ricardo
Parcell,2,d,Channing,Peralta,p,Hornberger,Janice,p,Jeffords,Adler
Scherbatsky,2,p,Mosby,Maroney,d,Peralta,Aldrin,d,Adler,Jeffords
Seinfeld,2,p,Sheffield,Bing,d,Adler,Bing,d,Green,Peralta
Stinson,2,d,Santiago,Buchman,p,Diaz,Fine,p,Bing,Santiago
Tribbiani,2,d,Aldrin,Green,p,Santiago,Mosby,d,Diaz,Channing
Truman,2,d,Bing,Sheffield,p,Ricardo,Sheffield,p,Walker,Hornberger
