team,division,r1_pos,r1_dest,r1_destopp,r2_pos,r2_dest,r2_destopp,r3_pos,r3_dest,r3_destopp
Beckham,1,p,Tucker,Austin,FALSE,,,FALSE,,
Benjamin,1,d,Ordway,Blomberg,FALSE,,,FALSE,,
Bentz,1,p,Pardue,Baldwin,FALSE,,,FALSE,,
Berry,1,p,Blomberg,Ordway,FALSE,,,FALSE,,
Helms,1,d,Newton,Mitchell,FALSE,,,FALSE,,
Hill,1,p,Pearman,Seacrest,FALSE,,,FALSE,,
Kelley,1,p,King Jr,Conroy,FALSE,,,FALSE,,
Lee,1,d,Austin,Tucker,FALSE,,,FALSE,,
Massey,1,p,Mitchell,Newton,FALSE,,,FALSE,,
McClain,1,d,Seacrest,Pearman,FALSE,,,FALSE,,
McCollum,1,d,West,Acres,FALSE,,,FALSE,,
Moretz,1,d,Nelson,Boykin,FALSE,,,FALSE,,
Reed,1,d,Baldwin,Pardue,FALSE,,,FALSE,,
Riggs,1,d,Conroy,King Jr,FALSE,,,FALSE,,
Rowland,1,p,Acres,West,FALSE,,,FALSE,,
Thompson,1,p,Boykin,Nelson,FALSE,,,FALSE,,
Acres,2,p,Rowland,McCollum,FALSE,,,FALSE,,
Austin,2,d,Moretz,Thompson,FALSE,,,FALSE,,
Baldwin,2,d,Benjamin,Berry,FALSE,,,FALSE,,
Blomberg,2,p,Bentz,Reed,FALSE,,,FALSE,,
Boykin,2,p,Kelley,Riggs,FALSE,,,FALSE,,
Conroy,2,d,Helms,Massey,FALSE,,,FALSE,,
King Jr,2,p,Massey,Helms,FALSE,,,FALSE,,
Mitchell,2,p,Beckham,Lee,FALSE,,,FALSE,,
Nelson,2,d,Riggs,Kelley,FALSE,,,FALSE,,
Newton,2,d,Lee,Beckham,FALSE,,,FALSE,,
Ordway,2,d,Reed,Bentz,FALSE,,,FALSE,,
Pardue,2,p,Berry,Benjamin,FALSE,,,FALSE,,
Pearman,2,p,Hill,McClain,FALSE,,,FALSE,,
Seacrest,2,d,McClain,Hill,FALSE,,,FALSE,,
Tucker,2,p,Thompson,Moretz,FALSE,,,FALSE,,
West,2,d,McCollum,Rowland,FALSE,,,FALSE,,
