team,division,r1_pos,r1_dest,r1_destopp,r2_pos,r2_dest,r2_destopp,r3_pos,r3_dest,r3_destopp
Adler,1,p,Mertz,Parcell,d,Seinfeld,Buffay,d,#N/A,#N/A
Aldrin,1,d,Buffay,Scherbatsky,p,Eriksen,Scherbatsky,p,#N/A,#N/A
Bing,1,d,Heffernan,Benes,p,Buffay,Seinfeld,p,#N/A,#N/A
Buchman,1,p,Jefferson,Stinson,d,Benes,Donaghy,d,#N/A,#N/A
Channing,1,d,Jordan,Black,p,Heffernan,Gunther,p,#N/A,#N/A
Diaz,1,d,Eriksen,McFarland,p,Stinson,Newman,d,#N/A,#N/A
Fine,1,p,Newman,Donaghy,d,Newman,Stinson,d,#N/A,#N/A
Green,1,p,Scherbatsky,Buffay,d,Gunther,Heffernan,d,#N/A,#N/A
Hornberger,1,d,Geller,Gunther,p,Parcell,Black,d,#N/A,#N/A
Janice,1,p,Costanza,Tribbiani,d,Black,Parcell,d,#N/A,#N/A
Jeffords,1,d,Tribbiani,Costanza,p,Jordan,Costanza,p,#N/A,#N/A
Kramer,1,p,McFarland,Eriksen,d,Jefferson,Geller,p,#N/A,#N/A
Lemon,1,p,Gunther,Geller,d,Costanza,Jordan,p,#N/A,#N/A
Maroney,1,d,Truman,Seinfeld,p,Donaghy,Benes,p,#N/A,#N/A
Mosby,1,p,Seinfeld,Truman,d,Mertz,Tribbiani,p,#N/A,#N/A
Peralta,1,p,Black,Jordan,d,Scherbatsky,Eriksen,p,#N/A,#N/A
Ricardo,1,d,Parcell,Mertz,p,Truman,McFarland,d,#N/A,#N/A
Santiago,1,d,Stinson,Jefferson,p,Tribbiani,Mertz,d,#N/A,#N/A
Sheffield,1,p,Benes,Heffernan,d,McFarland,Truman,d,#N/A,#N/A
Walker,1,d,Donaghy,Newman,p,Geller,Jefferson,p,#N/A,#N/A
Benes,2,p,Fine,Walker,d,Buchman,Maroney,d,#N/A,#N/A
Black,2,p,Adler,Ricardo,d,Janice,Hornberger,p,#N/A,#N/A
Buffay,2,d,Maroney,Mosby,p,Bing,Adler,d,#N/A,#N/A
Costanza,2,p,Green,Aldrin,d,Lemon,Jeffords,d,#N/A,#N/A
Donaghy,2,d,Jeffords,Janice,p,Maroney,Buchman,p,#N/A,#N/A
Eriksen,2,d,Diaz,Kramer,p,Aldrin,Peralta,p,#N/A,#N/A
Geller,2,d,Hornberger,Lemon,p,Walker,Kramer,p,#N/A,#N/A
Gunther,2,p,Lemon,Hornberger,d,Green,Channing,d,#N/A,#N/A
Heffernan,2,d,Walker,Fine,p,Channing,Green,p,#N/A,#N/A
Jefferson,2,p,Buchman,Santiago,d,Kramer,Walker,d,#N/A,#N/A
Jordan,2,d,Ricardo,Adler,p,Jeffords,Lemon,d,#N/A,#N/A
McFarland,2,p,Kramer,Diaz,d,Sheffield,Ricardo,d,#N/A,#N/A
Mertz,2,p,Peralta,Channing,d,Mosby,Santiago,p,#N/A,#N/A
Newman,2,p,Janice,Jeffords,d,Fine,Diaz,p,#N/A,#N/A
Parcell,2,d,Channing,Peralta,p,Hornberger,Janice,p,#N/A,#N/A
Scherbatsky,2,p,Mosby,Maroney,d,Peralta,Aldrin,d,#N/A,#N/A
Seinfeld,2,p,Sheffield,Bing,d,Adler,Bing,d,#N/A,#N/A
Stinson,2,d,Santiago,Buchman,p,Diaz,Fine,p,#N/A,#N/A
Tribbiani,2,d,Aldrin,Green,p,Santiago,Mosby,d,#N/A,#N/A
Truman,2,d,Bing,Sheffield,p,Ricardo,Sheffield,p,#N/A,#N/A
