team,division,r1_pos,r1_dest,r1_destopp,r2_pos,r2_dest,r2_destopp,r3_pos,r3_dest,r3_destopp
Airplane,1,d,Grape,McKernan,p,#N/A,#N/A,FALSE,#N/A,
Bordin,1,d,Creedence,Miller,p,#N/A,#N/A,FALSE,#N/A,
Crows,1,p,Buckingham,Desmond,d,#N/A,#N/A,FALSE,#N/A,
Franti,1,d,Moore,Lesh,p,#N/A,#N/A,FALSE,#N/A,
Garcia,1,p,Testament,Call,d,#N/A,#N/A,FALSE,#N/A,
Greenday,1,p,Nightranger,Biafra,d,#N/A,#N/A,FALSE,#N/A,
Joplin,1,d,Desmond,Buckingham,p,#N/A,#N/A,FALSE,#N/A,
Lewis,1,p,Miller,Creedence,d,#N/A,#N/A,FALSE,#N/A,
Metallica,1,d,Biafra,Nightranger,p,#N/A,#N/A,FALSE,#N/A,
Santana,1,d,Journey,Exodus,p,#N/A,#N/A,FALSE,#N/A,
Stone,1,p,Exodus,Journey,d,#N/A,#N/A,FALSE,#N/A,
Train,1,d,Call,Testament,p,#N/A,#N/A,FALSE,#N/A,
Weir,1,p,McKernan,Grape,d,#N/A,#N/A,FALSE,#N/A,
Young,1,p,Lesh,Moore,d,#N/A,#N/A,FALSE,#N/A,
Biafra,2,d,Bordin,Lewis,p,#N/A,#N/A,FALSE,#N/A,
Buckingham,2,p,Weir,Airplane,d,#N/A,#N/A,FALSE,#N/A,
Call,2,d,Joplin,Crows,p,#N/A,#N/A,FALSE,#N/A,
Creedence,2,d,Metallica,Greenday,p,#N/A,#N/A,FALSE,#N/A,
Desmond,2,d,Airplane,Weir,p,#N/A,#N/A,FALSE,#N/A,
Exodus,2,p,Young,Franti,d,#N/A,#N/A,FALSE,#N/A,
Grape,2,d,Santana,Stone,p,#N/A,#N/A,FALSE,#N/A,
Journey,2,d,Franti,Young,p,#N/A,#N/A,FALSE,#N/A,
Lesh,2,p,Garcia,Train,d,#N/A,#N/A,FALSE,#N/A,
McKernan,2,p,Stone,Santana,d,#N/A,#N/A,FALSE,#N/A,
Miller,2,p,Greenday,Metallica,d,#N/A,#N/A,FALSE,#N/A,
Moore,2,d,Train,Garcia,p,#N/A,#N/A,FALSE,#N/A,
Nightranger,2,p,Lewis,Bordin,d,#N/A,#N/A,FALSE,#N/A,
Testament,2,p,Crows,Joplin,d,#N/A,#N/A,FALSE,#N/A,
