team,division,r1,r2,r3
Airplane,1,505,--,--
Bordin,1,503,--,--
Crows,1,506,--,--
Franti,1,514,--,--
Garcia,1,502,--,--
Greenday,1,504,--,--
Joplin,1,506,--,--
Lewis,1,503,--,--
Metallica,1,504,--,--
Santana,1,220,--,--
Stone,1,220,--,--
Train,1,502,--,--
Weir,1,505,--,--
Young,1,514,--,--
Biafra,2,608,--,--
Buckingham,2,613,--,--
Call,2,602,--,--
Creedence,2,606,--,--
Desmond,2,613,--,--
Exodus,2,622,--,--
Grape,2,624,--,--
Journey,2,622,--,--
Lesh,2,611,--,--
McKernan,2,624,--,--
Miller,2,606,--,--
Moore,2,611,--,--
Nightranger,2,608,--,--
Testament,2,602,--,--
