team,division,r1,r2,r3
Beckham,1,A313,--,--
Benjamin,1,A303,--,--
Bentz,1,A304,--,--
Berry,1,A303,--,--
Helms,1,A301,--,--
Hill,1,A305,--,--
Kelley,1,A311,--,--
Lee,1,A313,--,--
Massey,1,A301,--,--
McClain,1,A305,--,--
McCollum,1,A302,--,--
Moretz,1,A310,--,--
Reed,1,A304,--,--
Riggs,1,A311,--,--
Rowland,1,A302,--,--
Thompson,1,A310,--,--
Acres,2,A402,--,--
Austin,2,A401,--,--
Baldwin,2,A315,--,--
Blomberg,2,A406,--,--
Boykin,2,A412a,--,--
Conroy,2,A408,--,--
King Jr,2,A408,--,--
Mitchell,2,A410,--,--
Nelson,2,A412a,--,--
Newton,2,A410,--,--
Ordway,2,A406,--,--
Pardue,2,A315,--,--
Pearman,2,A404,--,--
Seacrest,2,A404,--,--
Tucker,2,A401,--,--
West,2,A402,--,--
