team,division,r1_pos,r1_dest,r1_destopp,r2_pos,r2_dest,r2_destopp,r3_pos,r3_dest,r3_destopp
Abigail,1,p,Rosalynn,Edith,d,Margaret,Helen,FALSE,,
Bess,1,p,Martha,Anna,d,Ellen,Hannah,FALSE,,
Dolley,1,d,Anna,Martha,p,Barbara,Eleanor,FALSE,,
Elizabeth,1,d,Nancy,Margaret,p,Anna,Rosalynn,FALSE,,
Florence,1,p,Ellen,Barbara,d,Lucretia,Michelle,FALSE,,
Grace,1,p,Lucretia,Hannah,d,Eleanor,Barbara,FALSE,,
Ida,1,d,Helen,Louisa,p,Helen,Margaret,FALSE,,
Jackie,1,p,Louisa,Helen,d,Louisa,Nancy,FALSE,,
Julia,1,d,Hannah,Lucretia,p,Michelle,Lucretia,FALSE,,
Lady Bird,1,d,Barbara,Ellen,p,Hannah,Ellen,FALSE,,
Laura,1,p,Eleanor,Michelle,d,Rosalynn,Anna,FALSE,,
Mamie,1,d,Edith,Rosalynn,p,Nancy,Louisa,FALSE,,
Mary Todd,1,d,Michelle,Eleanor,p,Edith,Martha,FALSE,,
Pat,1,p,Margaret,Nancy,d,Martha,Edith,FALSE,,
Anna,2,d,Elizabeth,Pat,p,Elizabeth,Laura,FALSE,,
Barbara,2,d,Dolley,Bess,p,Dolley,Grace,FALSE,,
Edith,2,d,Lady Bird,Florence,p,Mary Todd,Pat,FALSE,,
Eleanor,2,p,Laura,Mary Todd,d,Grace,Dolley,FALSE,,
Ellen,2,p,Bess,Dolley,d,Bess,Lady Bird,FALSE,,
Hannah,2,d,Mamie,Abigail,p,Lady Bird,Bess,FALSE,,
Helen,2,d,Ida,Jackie,p,Ida,Abigail,FALSE,,
Louisa,2,p,Jackie,Ida,d,Jackie,Mamie,FALSE,,
Lucretia,2,p,Abigail,Mamie,d,Florence,Julia,FALSE,,
Margaret,2,p,Grace,Julia,d,Abigail,Ida,FALSE,,
Martha,2,p,Pat,Elizabeth,d,Pat,Mary Todd,FALSE,,
Michelle,2,d,Mary Todd,Laura,p,Julia,Florence,FALSE,,
Nancy,2,d,Julia,Grace,p,Mamie,Jackie,FALSE,,
Rosalynn,2,p,Florence,Lady Bird,d,Laura,Elizabeth,FALSE,,
