Team,Division,R1 Pos,R1 Destination Team,R1 Destination's Opponent,R2 Pos,R2 Destination Team,R2 Destination's Opponent,R3 Pos,R3 Destination Team,R3 Destination's Opponent
Abry,1,d,Weerasekera,Kelly,p,Pym,Shapiro,p,Matarrese,Samios
Adler,1,p,Shapiro,Matarrese,d,Rosier,Stebbins,d,Samios,Matarrese
Bell-Colpack,1,p,Kelly,Weerasekera,d,Tilis,Weerasekera,p,Pym,Suh
Benjamin,1,p,Tilis,Stebbins,d,Smith,Matarrese,d,Suh,Pym
Burdette,1,d,Matarrese,Shapiro,p,Weerasekera,Tilis,p,Rosier,Kelly
Cepeda,1,p,Self,Pym,d,Kelly,Suh,d,Stebbins,Weerasekera
Faiella,1,p,Rosier,Samios,d,Self,Samios,p,Shapiro,Smith
Fast,1,d,Suh,Smith,p,Matarrese,Smith,p,Weerasekera,Stebbins
Felder,1,d,Stebbins,Tilis,p,Suh,Kelly,d,Smith,Shapiro
Franklin,1,p,Smith,Suh,d,Shapiro,Pym,d,Tilis,Self
Gossett,1,d,Pym,Self,p,Samios,Self,d,Kelly,Rosier
Hahn,1,d,Samios,Rosier,p,Stebbins,Rosier,p,Self,Tilis
Kelly,2,p,Bell-Colpack,Abry,d,Cepeda,Felder,d,Benjamin,Bell-Colpack
Matarrese,2,d,Burdette,Adler,p,Fast,Benjamin,p,Abry,Adler
Pym,2,d,Gossett,Cepeda,p,Abry,Franklin,p,Burdette,Gossett
Rosier,2,p,Faiella,Hahn,d,Adler,Hahn,p,Bell-Colpack,Benjamin
Samios,2,d,Hahn,Faiella,p,Gossett,Faiella,d,Adler,Abry
Self,2,p,Cepeda,Gossett,d,Faiella,Gossett,p,Faiella,Felder
Shapiro,2,p,Adler,Burdette,d,Franklin,Abry,p,Hahn,Franklin
Smith,2,p,Franklin,Fast,d,Benjamin,Fast,d,Franklin,Hahn
Stebbins,2,d,Felder,Benjamin,p,Hahn,Adler,d,Cepeda,Fast
Suh,2,d,Fast,Franklin,p,Felder,Cepeda,d,Gossett,Burdette
Tilis,2,p,Benjamin,Felder,d,Bell-Colpack,Burdette,d,Felder,Faiella
Weerasekera,2,d,Abry,Bell-Colpack,p,Burdette,Bell-Colpack,p,Fast,Cepeda
