team,division,r1,r2,r3
Beckham,1,A301,--,--
Benjamin,1,A302,--,--
Bentz,1,A303,--,--
Berry,1,A304,--,--
Helms,1,A305,--,--
Hill,1,A310,--,--
Kelley,1,A311,--,--
Lee,1,A313,--,--
Massey,1,A301,--,--
McClain,1,A302,--,--
McCollum,1,A303,--,--
Moretz,1,A304,--,--
Reed,1,A305,--,--
Riggs,1,A310,--,--
Rowland,1,A311,--,--
Thompson,1,A313,--,--
Acres,2,A315,--,--
Baldwin,2,A401,--,--
Blomberg,2,A402,--,--
Boykin,2,A404,--,--
Conroy,2,A406,--,--
Hill2,2,A408,--,--
King Jr,2,A410,--,--
Mitchell,2,A412a,--,--
Nelson,2,A315,--,--
Newton,2,A401,--,--
Ordway,2,A402,--,--
Pardue,2,A404,--,--
Pearman,2,A406,--,--
Seacrest,2,A408,--,--
Tucker,2,A410,--,--
West,2,A412a,--,--
